seed,round_no,strategy,game_no,num1,num2,num3,num4,num5,num6,match_count,has_bonus,prize
1,926,random,1,5,8,9,17,32,37,0,0,꽝
1,926,random,2,7,14,25,29,31,42,2,0,꽝
1,926,random,3,1,2,25,28,32,39,1,0,꽝
1,926,random,4,7,15,18,29,38,45,1,0,꽝
1,926,random,5,1,2,21,35,43,44,0,0,꽝
1,927,random,1,5,8,9,17,32,37,0,0,꽝
1,927,random,2,7,14,25,29,31,42,0,0,꽝
1,927,random,3,1,2,25,28,32,39,0,0,꽝
1,927,random,4,7,15,18,29,38,45,2,0,꽝
1,927,random,5,1,2,21,35,43,44,1,0,꽝
1,928,random,1,5,8,9,17,32,37,0,0,꽝
1,928,random,2,7,14,25,29,31,42,0,0,꽝
1,928,random,3,1,2,25,28,32,39,1,0,꽝
1,928,random,4,7,15,18,29,38,45,0,0,꽝
1,928,random,5,1,2,21,35,43,44,1,0,꽝
1,929,random,1,5,8,9,17,32,37,1,0,꽝
1,929,random,2,7,14,25,29,31,42,1,0,꽝
1,929,random,3,1,2,25,28,32,39,0,0,꽝
1,929,random,4,7,15,18,29,38,45,2,0,꽝
1,929,random,5,1,2,21,35,43,44,0,0,꽝
1,930,random,1,5,8,9,17,32,37,1,0,꽝
1,930,random,2,7,14,25,29,31,42,1,0,꽝
1,930,random,3,1,2,25,28,32,39,2,1,꽝
1,930,random,4,7,15,18,29,38,45,1,0,꽝
1,930,random,5,1,2,21,35,43,44,2,0,꽝
1,931,random,1,5,8,9,17,32,37,0,1,꽝
1,931,random,2,7,14,25,29,31,42,2,0,꽝
1,931,random,3,1,2,25,28,32,39,1,1,꽝
1,931,random,4,7,15,18,29,38,45,1,0,꽝
1,931,random,5,1,2,21,35,43,44,2,0,꽝
1,932,random,1,5,8,9,17,32,37,1,1,꽝
1,932,random,2,7,14,25,29,31,42,0,0,꽝
1,932,random,3,1,2,25,28,32,39,1,0,꽝
1,932,random,4,7,15,18,29,38,45,2,0,꽝
1,932,random,5,1,2,21,35,43,44,1,0,꽝
1,933,random,1,5,8,9,17,32,37,0,1,꽝
1,933,random,2,7,14,25,29,31,42,2,0,꽝
1,933,random,3,1,2,25,28,32,39,0,0,꽝
1,933,random,4,7,15,18,29,38,45,2,0,꽝
1,933,random,5,1,2,21,35,43,44,0,0,꽝
1,934,random,1,5,8,9,17,32,37,0,0,꽝
1,934,random,2,7,14,25,29,31,42,0,0,꽝
1,934,random,3,1,2,25,28,32,39,2,0,꽝
1,934,random,4,7,15,18,29,38,45,0,0,꽝
1,934,random,5,1,2,21,35,43,44,1,0,꽝
1,935,random,1,5,8,9,17,32,37,1,0,꽝
1,935,random,2,7,14,25,29,31,42,0,0,꽝
1,935,random,3,1,2,25,28,32,39,1,0,꽝
1,935,random,4,7,15,18,29,38,45,1,1,꽝
1,935,random,5,1,2,21,35,43,44,1,0,꽝
1,936,random,1,5,8,9,17,32,37,1,0,꽝
1,936,random,2,7,14,25,29,31,42,2,0,꽝
1,936,random,3,1,2,25,28,32,39,0,0,꽝
1,936,random,4,7,15,18,29,38,45,3,0,5등
1,936,random,5,1,2,21,35,43,44,0,1,꽝
1,937,random,1,5,8,9,17,32,37,0,0,꽝
1,937,random,2,7,14,25,29,31,42,1,0,꽝
1,937,random,3,1,2,25,28,32,39,1,0,꽝
1,937,random,4,7,15,18,29,38,45,1,0,꽝
1,937,random,5,1,2,21,35,43,44,1,0,꽝
1,938,random,1,5,8,9,17,32,37,1,1,꽝
1,938,random,2,7,14,25,29,31,42,1,0,꽝
1,938,random,3,1,2,25,28,32,39,0,0,꽝
1,938,random,4,7,15,18,29,38,45,0,0,꽝
1,938,random,5,1,2,21,35,43,44,0,0,꽝
1,939,random,1,5,8,9,17,32,37,0,0,꽝
1,939,random,2,7,14,25,29,31,42,1,0,꽝
1,939,random,3,1,2,25,28,32,39,2,0,꽝
1,939,random,4,7,15,18,29,38,45,1,0,꽝
1,939,random,5,1,2,21,35,43,44,0,0,꽝
1,940,random,1,5,8,9,17,32,37,0,0,꽝
1,940,random,2,7,14,25,29,31,42,0,0,꽝
1,940,random,3,1,2,25,28,32,39,0,0,꽝
1,940,random,4,7,15,18,29,38,45,1,0,꽝
1,940,random,5,1,2,21,35,43,44,0,0,꽝
1,941,random,1,5,8,9,17,32,37,0,0,꽝
1,941,random,2,7,14,25,29,31,42,2,0,꽝
1,941,random,3,1,2,25,28,32,39,2,0,꽝
1,941,random,4,7,15,18,29,38,45,0,0,꽝
1,941,random,5,1,2,21,35,43,44,0,1,꽝
1,942,random,1,5,8,9,17,32,37,0,0,꽝
1,942,random,2,7,14,25,29,31,42,1,0,꽝
1,942,random,3,1,2,25,28,32,39,0,1,꽝
1,942,random,4,7,15,18,29,38,45,1,0,꽝
1,942,random,5,1,2,21,35,43,44,2,0,꽝
1,943,random,1,5,8,9,17,32,37,1,0,꽝
1,943,random,2,7,14,25,29,31,42,0,0,꽝
1,943,random,3,1,2,25,28,32,39,1,1,꽝
1,943,random,4,7,15,18,29,38,45,1,0,꽝
